[95410.8, 'A', 3714.4403, 12646.4465, 44.99999973944896]
[95410.9, 'A', 3714.4403, 12646.4466, 44.99999973944896]
[95411.0, 'A', 3714.4404, 12646.4466, 44.99999973944896]
[95411.1, 'A', 3714.4405, 12646.4466, 44.99999973944896]
[95411.2, 'A', 3714.4405, 12646.4467, 44.99999973944896]
[95411.3, 'A', 3714.4406, 12646.4467, 44.99999973944896]
[95411.4, 'A', 3714.4407, 12646.4468, 44.99999973944896]
[95411.5, 'A', 3714.4408, 12646.4469, 45.00000039082656]
[95411.6, 'A', 3714.4408, 12646.4469, 45.00000039082656]
[95411.7, 'A', 3714.4409, 12646.447, 44.99999973944896]
[95411.8, 'A', 3714.441, 12646.447, 44.99999973944896]
[95411.9, 'A', 3714.4411, 12646.4471, 44.99999973944896]
[95412.0, 'A', 3714.4412, 12646.4472, 45.000000260551026]
[95412.1, 'A', 3714.4413, 12646.4472, 45.000000260551026]
[95412.2, 'A', 3714.4414, 12646.4473, 44.99999973944896]
[95412.4, 'A', 3714.4416, 12646.4474, 26.56505102074737]
[95412.5, 'A', 3714.4418, 12646.4475, 26.56505143762903]
[95412.6, 'A', 3714.4419, 12646.4476, 44.999999869724476]
[95412.7, 'A', 3714.442, 12646.4477, 45.000000260551026]
[95412.7, 'A', 3714.442, 12646.4477, 45.000000260551026]
[95412.8, 'A', 3714.4421, 12646.4478, 44.99999973944896]
[95412.9, 'A', 3714.4423, 12646.4479, 26.56505102074737]
[95413.0, 'A', 3714.4424, 12646.448, 45.00000039082656]
[95413.1, 'A', 3714.4426, 12646.448, 45.00000039082656]
[95413.2, 'A', 3714.4427, 12646.4481, 44.99999973944896]
[95413.3, 'A', 3714.4429, 12646.4482, 26.56505143762903]
[95413.5, 'A', 3714.4431, 12646.4484, 44.999999869724476]
[95413.6, 'A', 3714.4433, 12646.4485, 26.56505143762903]
[95413.7, 'A', 3714.4434, 12646.4486, 44.99999973944896]
[95413.8, 'A', 3714.4435, 12646.4487, 45.00000039082656]
[95413.9, 'A', 3714.4437, 12646.4488, 26.56505102074737]
[95414.0, 'A', 3714.4439, 12646.4489, 26.56505096863716]
[95414.0, 'A', 3714.4439, 12646.4489, 26.56505096863716]
[95414.2, 'A', 3714.4442, 12646.4491, 44.999999869724476]
[95414.3, 'A', 3714.4444, 12646.4493, 45.00000006513776]
[95414.4, 'A', 3714.4445, 12646.4494, 44.99999973944896]
[95414.5, 'A', 3714.4447, 12646.4495, 26.56505143762903]
[95414.6, 'A', 3714.4449, 12646.4496, 26.56505102074737]
[95414.7, 'A', 3714.4451, 12646.4497, 26.56505102074737]
[95414.8, 'A', 3714.4453, 12646.4498, 26.56505143762903]
[95414.9, 'A', 3714.4454, 12646.4499, 44.99999973944896]
[95415.0, 'A', 3714.4457, 12646.4501, 33.690067566064556]
[95415.1, 'A', 3714.4458, 12646.4502, 44.999999869724476]
[95415.2, 'A', 3714.446, 12646.4503, 26.56505143762903]
[95415.3, 'A', 3714.4462, 12646.4504, 26.56505102074737]
[95415.4, 'A', 3714.4464, 12646.4506, 45.00000006513776]
[95415.5, 'A', 3714.4466, 12646.4507, 26.56505096863716]
[95415.6, 'A', 3714.4468, 12646.4508, 26.56505143762903]
[95415.7, 'A', 3714.447, 12646.4509, 26.56505102074737]
[95415.8, 'A', 3714.4472, 12646.4511, 45.00000006513776]
[95415.9, 'A', 3714.4475, 12646.4512, 18.434948692646486]
[95416.0, 'A', 3714.4476, 12646.4513, 45.00000039082656]
[95416.1, 'A', 3714.4479, 12646.4515, 33.69006732555591]
[95416.2, 'A', 3714.4481, 12646.4516, 26.56505143762903]
[95416.3, 'A', 3714.4483, 12646.4517, 26.56505102074737]
[95416.4, 'A', 3714.4486, 12646.4519, 33.690067566064556]
[95416.5, 'A', 3714.4488, 12646.452, 26.56505102074737]
[95416.6, 'A', 3714.449, 12646.4521, 26.56505143762903]
[95416.7, 'A', 3714.4492, 12646.4523, 45.00000006513776]
[95416.8, 'A', 3714.4494, 12646.4524, 26.56505102074737]
[95416.9, 'A', 3714.4496, 12646.4525, 26.56505102074737]
[95417.0, 'A', 3714.4499, 12646.4527, 33.690067566064556]
[95417.1, 'A', 3714.4501, 12646.4528, 26.56505102074737]
[95417.2, 'A', 3714.4504, 12646.453, 33.690067566064556]
[95417.3, 'A', 3714.4506, 12646.4531, 26.56505143762903]
[95417.4, 'A', 3714.4508, 12646.4532, 26.56505102074737]
[95417.5, 'A', 3714.4511, 12646.4534, 33.690067566064556]
[95417.6, 'A', 3714.4513, 12646.4535, 26.56505102074737]
[95417.8, 'A', 3714.4516, 12646.4537, 33.69006760614934]
[95417.8, 'A', 3714.4518, 12646.4538, 26.56505102074737]
[95417.9, 'A', 3714.4521, 12646.4539, 18.43494900530773]
[95418.0, 'A', 3714.4523, 12646.4541, 45.00000006513776]
[95418.1, 'A', 3714.4526, 12646.4543, 33.69006732555591]
[95418.2, 'A', 3714.4528, 12646.4544, 26.56505143762903]
[95418.3, 'A', 3714.4531, 12646.4545, 18.434948692646486]
[95418.4, 'A', 3714.4533, 12646.4547, 45.00000006513776]
[95418.5, 'A', 3714.4536, 12646.4549, 33.69006760614934]
[95418.6, 'A', 3714.4538, 12646.455, 26.56505102074737]
[95418.7, 'A', 3714.4541, 12646.4552, 33.690067566064556]
[95418.8, 'A', 3714.4543, 12646.4553, 26.56505102074737]
[95418.9, 'A', 3714.4546, 12646.4555, 33.690067566064556]
[95419.0, 'A', 3714.4549, 12646.4556, 18.434948692646486]
[95419.1, 'A', 3714.4551, 12646.4558, 45.00000006513776]
[95419.2, 'A', 3714.4554, 12646.456, 33.69006760614934]
[95419.3, 'A', 3714.4556, 12646.4561, 26.56505102074737]
[95419.4, 'A', 3714.4559, 12646.4563, 33.690067566064556]
[95419.5, 'A', 3714.4562, 12646.4564, 18.434948692646486]
[95419.6, 'A', 3714.4565, 12646.4566, 33.69006760614934]
[95419.7, 'A', 3714.4567, 12646.4568, 45.0]
[95419.8, 'A', 3714.4569, 12646.4569, 26.56505102074737]
[95419.9, 'A', 3714.4573, 12646.4571, 26.5650512291882]
[95420.0, 'A', 3714.4575, 12646.4573, 45.00000006513776]
[95420.1, 'A', 3714.4578, 12646.4574, 18.434948692646486]
[95420.2, 'A', 3714.4581, 12646.4576, 33.69006760614934]
[95420.3, 'A', 3714.4584, 12646.4578, 33.690067566064556]
[95420.4, 'A', 3714.4586, 12646.4579, 26.56505102074737]
[95420.5, 'A', 3714.459, 12646.4581, 26.5650512291882]
[95420.6, 'A', 3714.4592, 12646.4583, 45.00000006513776]
[95420.7, 'A', 3714.4595, 12646.4584, 18.434948692646486]
[95420.8, 'A', 3714.4597, 12646.4586, 45.00000006513776]
[95420.9, 'A', 3714.4601, 12646.4588, 26.5650512291882]
[95421.0, 'A', 3714.4604, 12646.4589, 18.434948692646486]
[95421.1, 'A', 3714.4606, 12646.4591, 45.00000006513776]
[95421.2, 'A', 3714.461, 12646.4593, 26.5650512291882]
[95421.3, 'A', 3714.4613, 12646.4594, 18.434948692646486]
[95421.4, 'A', 3714.4615, 12646.4596, 45.00000006513776]
[95421.5, 'A', 3714.4619, 12646.4597, 14.036243375967288]
[95421.6, 'A', 3714.4622, 12646.4599, 33.690067566064556]
[95421.7, 'A', 3714.4625, 12646.46, 18.434948692646486]
[95421.8, 'A', 3714.4628, 12646.4602, 33.69006760614934]
[95421.9, 'A', 3714.4631, 12646.4603, 18.43494900530773]
[95422.0, 'A', 3714.4634, 12646.4605, 33.69006732555591]
[95422.1, 'A', 3714.4638, 12646.4606, 14.036243621191787]
[95422.2, 'A', 3714.464, 12646.4608, 45.00000006513776]
[95422.3, 'A', 3714.4643, 12646.4609, 18.434948692646486]
[95422.4, 'A', 3714.4647, 12646.4611, 26.5650512291882]
