[100553.3, 'A', 3714.4406, 12646.4468, 45]
[100553.4, 'A', 3714.4406, 12646.4469, 45]
[100553.5, 'A', 3714.4407, 12646.4469, 45]
[100553.6, 'A', 3714.4408, 12646.447, 44.999999869724476]
[100553.7, 'A', 3714.4408, 12646.447, 44.999999869724476]
[100553.8, 'A', 3714.4409, 12646.4471, 44.99999973944896]
[100553.9, 'A', 3714.441, 12646.4472, 45.00000039082656]
[100554.0, 'A', 3714.4411, 12646.4472, 45.00000039082656]
[100554.1, 'A', 3714.4412, 12646.4473, 44.99999973944896]
[100554.2, 'A', 3714.4413, 12646.4474, 44.999999869724476]
[100554.3, 'A', 3714.4414, 12646.4475, 45.000000260551026]
[100554.4, 'A', 3714.4415, 12646.4476, 44.999999869724476]
[100554.5, 'A', 3714.4416, 12646.4476, 44.999999869724476]
[100554.6, 'A', 3714.4417, 12646.4477, 45.00000039082656]
[100554.7, 'A', 3714.4418, 12646.4478, 44.99999973944896]
[100554.8, 'A', 3714.4419, 12646.4479, 44.999999869724476]
[100554.9, 'A', 3714.442, 12646.448, 45.000000260551026]
[100555.0, 'A', 3714.4421, 12646.4481, 44.99999973944896]
[100555.1, 'A', 3714.4422, 12646.4482, 45.00000039082656]
[100555.2, 'A', 3714.4424, 12646.4483, 26.56505102074737]
[100555.3, 'A', 3714.4425, 12646.4484, 44.99999973944896]
[100555.4, 'A', 3714.4426, 12646.4485, 45.00000039082656]
[100555.5, 'A', 3714.4427, 12646.4486, 44.99999973944896]
[100555.6, 'A', 3714.4429, 12646.4488, 45.00000006513776]
[100555.7, 'A', 3714.443, 12646.4489, 44.99999973944896]
[100555.8, 'A', 3714.4431, 12646.449, 45.00000039082656]
[100555.9, 'A', 3714.4433, 12646.4491, 26.56505102074737]
[100556.0, 'A', 3714.4434, 12646.4493, 63.43494882292201]
[100556.1, 'A', 3714.4435, 12646.4494, 44.999999869724476]
[100556.2, 'A', 3714.4437, 12646.4495, 26.56505143762903]
[100556.3, 'A', 3714.4438, 12646.4496, 44.99999973944896]
[100556.4, 'A', 3714.444, 12646.4498, 45.00000006513776]
[100556.5, 'A', 3714.4441, 12646.4499, 44.99999973944896]
[100556.6, 'A', 3714.4443, 12646.4501, 45.00000006513776]
[100556.7, 'A', 3714.4444, 12646.4502, 44.999999869724476]
[100556.8, 'A', 3714.4446, 12646.4504, 45.00000006513776]
[100556.9, 'A', 3714.4448, 12646.4506, 45.0]
[100557.1, 'A', 3714.4451, 12646.4509, 45.00000006513776]
[100557.2, 'A', 3714.4452, 12646.451, 44.99999973944896]
[100557.2, 'A', 3714.4452, 12646.451, 44.99999973944896]
[100557.3, 'A', 3714.4454, 12646.4512, 45.00000006513776]
[100557.4, 'A', 3714.4456, 12646.4514, 45.00000006513776]
[100557.5, 'A', 3714.4458, 12646.4516, 45.00000006513776]
[100557.7, 'A', 3714.4461, 12646.4519, 45.00000006513776]
[100557.8, 'A', 3714.4463, 12646.4521, 45.00000006513776]
[100557.9, 'A', 3714.4464, 12646.4522, 44.999999869724476]
[100557.9, 'A', 3714.4464, 12646.4522, 44.999999869724476]
[100558.0, 'A', 3714.4466, 12646.4524, 45.0]
[100558.1, 'A', 3714.4468, 12646.4526, 45.00000006513776]
[100558.3, 'A', 3714.4472, 12646.4529, 26.56505143762903]
[100558.4, 'A', 3714.4474, 12646.4531, 45.00000006513776]
[100558.5, 'A', 3714.4476, 12646.4533, 44.99999980458672]
[100558.5, 'A', 3714.4476, 12646.4533, 44.99999980458672]
[100558.7, 'A', 3714.4479, 12646.4537, 63.43494882292201]
[100558.8, 'A', 3714.4481, 12646.4539, 45.00000006513776]
[100558.9, 'A', 3714.4484, 12646.4541, 33.690067566064556]
[100559.0, 'A', 3714.4485, 12646.4542, 44.999999869724476]
[100559.1, 'A', 3714.4488, 12646.4544, 33.690067566064556]
[100559.2, 'A', 3714.449, 12646.4546, 44.99999980458672]
[100559.3, 'A', 3714.4492, 12646.4548, 45.00000006513776]
[100559.4, 'A', 3714.4494, 12646.455, 45.00000006513776]
[100559.5, 'A', 3714.4496, 12646.4551, 26.56505102074737]
