[73628.0, 3714.46173, 'N', 12646.46079, 'E', 'A']
[73629.0, 3714.46191, 'N', 12646.46091, 'E', 'A']
[73630.0, 3714.46213, 'N', 12646.46106, 'E', 'A']
[73631.0, 3714.46239, 'N', 12646.46124, 'E', 'A']
[73632.0, 3714.46268, 'N', 12646.46144, 'E', 'A']
[73633.0, 3714.46298, 'N', 12646.46163, 'E', 'A']
[73634.0, 3714.46328, 'N', 12646.46184, 'E', 'A']
[73635.0, 3714.4636, 'N', 12646.46207, 'E', 'A']
[73636.0, 3714.46392, 'N', 12646.46228, 'E', 'A']
[73637.0, 3714.46425, 'N', 12646.46248, 'E', 'A']
[73638.0, 3714.4646, 'N', 12646.4627, 'E', 'A']
[73639.0, 3714.46496, 'N', 12646.46293, 'E', 'A']
[73640.0, 3714.46531, 'N', 12646.46315, 'E', 'A']
[73640.0, 3714.46531, 'N', 12646.46315, 'E', 'A']
[73642.0, 3714.46597, 'N', 12646.46357, 'E', 'A']
[73643.0, 3714.46631, 'N', 12646.46379, 'E', 'A']
[73644.0, 3714.46664, 'N', 12646.46399, 'E', 'A']
[73645.0, 3714.467, 'N', 12646.46417, 'E', 'A']
[73646.0, 3714.46734, 'N', 12646.46436, 'E', 'A']
[73647.0, 3714.46768, 'N', 12646.46455, 'E', 'A']
[73648.0, 3714.46799, 'N', 12646.46473, 'E', 'A']
[73649.0, 3714.4683, 'N', 12646.46492, 'E', 'A']
[73650.0, 3714.46864, 'N', 12646.4651, 'E', 'A']
[73651.0, 3714.46898, 'N', 12646.46529, 'E', 'A']
[73652.0, 3714.46934, 'N', 12646.46548, 'E', 'A']
[73653.0, 3714.46971, 'N', 12646.46565, 'E', 'A']
[73654.0, 3714.47005, 'N', 12646.46581, 'E', 'A']
[73655.0, 3714.47039, 'N', 12646.46598, 'E', 'A']
[73656.0, 3714.47076, 'N', 12646.46615, 'E', 'A']
[73657.0, 3714.47114, 'N', 12646.46635, 'E', 'A']
[73658.0, 3714.4715, 'N', 12646.46653, 'E', 'A']
[73659.0, 3714.47187, 'N', 12646.46672, 'E', 'A']
[73700.0, 3714.47223, 'N', 12646.46691, 'E', 'A']
[73701.0, 3714.47257, 'N', 12646.46709, 'E', 'A']
[73702.0, 3714.47282, 'N', 12646.46722, 'E', 'A']
[73703.0, 3714.47304, 'N', 12646.46733, 'E', 'A']
[73704.0, 3714.47341, 'N', 12646.46751, 'E', 'A']
[73705.0, 3714.47375, 'N', 12646.46767, 'E', 'A']
[73706.0, 3714.47406, 'N', 12646.4678, 'E', 'A']
[73707.0, 3714.47441, 'N', 12646.46793, 'E', 'A']
[73708.0, 3714.47478, 'N', 12646.46809, 'E', 'A']
[73709.0, 3714.47517, 'N', 12646.46826, 'E', 'A']
[73710.0, 3714.47556, 'N', 12646.46843, 'E', 'A']
[73711.0, 3714.47597, 'N', 12646.46858, 'E', 'A']
[73712.0, 3714.47638, 'N', 12646.46872, 'E', 'A']
[73713.0, 3714.47682, 'N', 12646.46888, 'E', 'A']
[73714.0, 3714.47727, 'N', 12646.46904, 'E', 'A']
[73715.0, 3714.47772, 'N', 12646.46919, 'E', 'A']
[73716.0, 3714.47818, 'N', 12646.46934, 'E', 'A']
[73717.0, 3714.47866, 'N', 12646.46949, 'E', 'A']
[73718.0, 3714.47915, 'N', 12646.46964, 'E', 'A']
[73719.0, 3714.47965, 'N', 12646.4698, 'E', 'A']
[73720.0, 3714.48015, 'N', 12646.46996, 'E', 'A']
[73721.0, 3714.48066, 'N', 12646.4701, 'E', 'A']
[73722.0, 3714.48117, 'N', 12646.47024, 'E', 'A']
[73723.0, 3714.48167, 'N', 12646.47036, 'E', 'A']
[73724.0, 3714.48216, 'N', 12646.47046, 'E', 'A']
[73725.0, 3714.4827, 'N', 12646.47056, 'E', 'A']
[73726.0, 3714.48327, 'N', 12646.47067, 'E', 'A']
[73727.0, 3714.4838, 'N', 12646.47075, 'E', 'A']
[73728.0, 3714.48429, 'N', 12646.47082, 'E', 'A']
[73729.0, 3714.4848, 'N', 12646.47087, 'E', 'A']
[73730.0, 3714.48526, 'N', 12646.47092, 'E', 'A']
[73731.0, 3714.4856, 'N', 12646.47095, 'E', 'A']
