[73915.0, 3714.46182, 'N', 12646.46063, 'E', 'A']
[73916.0, 3714.4619, 'N', 12646.46068, 'E', 'A']
[73917.0, 3714.46204, 'N', 12646.46076, 'E', 'A']
[73918.0, 3714.46221, 'N', 12646.46088, 'E', 'A']
[73919.0, 3714.46244, 'N', 12646.46104, 'E', 'A']
[73920.0, 3714.46271, 'N', 12646.46124, 'E', 'A']
[73921.0, 3714.46302, 'N', 12646.46146, 'E', 'A']
[73922.0, 3714.46333, 'N', 12646.46167, 'E', 'A']
[73923.0, 3714.46365, 'N', 12646.4619, 'E', 'A']
[73924.0, 3714.46398, 'N', 12646.46215, 'E', 'A']
[73925.0, 3714.4643, 'N', 12646.46239, 'E', 'A']
[73926.0, 3714.46462, 'N', 12646.46263, 'E', 'A']
[73927.0, 3714.46496, 'N', 12646.46288, 'E', 'A']
[73928.0, 3714.46535, 'N', 12646.46314, 'E', 'A']
[73929.0, 3714.46574, 'N', 12646.4634, 'E', 'A']
[73930.0, 3714.46612, 'N', 12646.46363, 'E', 'A']
[73931.0, 3714.46649, 'N', 12646.46387, 'E', 'A']
[73932.0, 3714.46687, 'N', 12646.4641, 'E', 'A']
[73933.0, 3714.46725, 'N', 12646.46433, 'E', 'A']
[73934.0, 3714.46762, 'N', 12646.46455, 'E', 'A']
[73935.0, 3714.468, 'N', 12646.46473, 'E', 'A']
[73936.0, 3714.46843, 'N', 12646.46495, 'E', 'A']
[73937.0, 3714.4689, 'N', 12646.46521, 'E', 'A']
[73938.0, 3714.46934, 'N', 12646.46547, 'E', 'A']
[73939.0, 3714.46981, 'N', 12646.46574, 'E', 'A']
[73940.0, 3714.47031, 'N', 12646.46603, 'E', 'A']
[73941.0, 3714.47079, 'N', 12646.46631, 'E', 'A']
[73942.0, 3714.47126, 'N', 12646.46655, 'E', 'A']
[73943.0, 3714.47171, 'N', 12646.46677, 'E', 'A']
[73944.0, 3714.47219, 'N', 12646.467, 'E', 'A']
[73945.0, 3714.47266, 'N', 12646.46721, 'E', 'A']
[73946.0, 3714.47308, 'N', 12646.4674, 'E', 'A']
[73947.0, 3714.47353, 'N', 12646.4676, 'E', 'A']
[73948.0, 3714.47401, 'N', 12646.46781, 'E', 'A']
[73949.0, 3714.47447, 'N', 12646.46799, 'E', 'A']
[73950.0, 3714.47494, 'N', 12646.46818, 'E', 'A']
[73951.0, 3714.47541, 'N', 12646.46836, 'E', 'A']
[73952.0, 3714.47589, 'N', 12646.46854, 'E', 'A']
[73953.0, 3714.4764, 'N', 12646.46873, 'E', 'A']
[73954.0, 3714.47691, 'N', 12646.46892, 'E', 'A']
[73955.0, 3714.4774, 'N', 12646.46909, 'E', 'A']
[73956.0, 3714.47788, 'N', 12646.46927, 'E', 'A']
[73957.0, 3714.47834, 'N', 12646.46943, 'E', 'A']
[73958.0, 3714.4788, 'N', 12646.4696, 'E', 'A']
[73959.0, 3714.47926, 'N', 12646.46976, 'E', 'A']
[74000.0, 3714.47974, 'N', 12646.46994, 'E', 'A']
[74001.0, 3714.48024, 'N', 12646.47008, 'E', 'A']
[74002.0, 3714.48077, 'N', 12646.47017, 'E', 'A']
[74003.0, 3714.48132, 'N', 12646.47028, 'E', 'A']
[74004.0, 3714.48184, 'N', 12646.47039, 'E', 'A']
[74005.0, 3714.48237, 'N', 12646.47051, 'E', 'A']
[74006.0, 3714.4829, 'N', 12646.47061, 'E', 'A']
[74007.0, 3714.48344, 'N', 12646.47071, 'E', 'A']
[74008.0, 3714.48401, 'N', 12646.47082, 'E', 'A']
[74009.0, 3714.48463, 'N', 12646.47093, 'E', 'A']
[74010.0, 3714.48523, 'N', 12646.47104, 'E', 'A']
[74011.0, 3714.48574, 'N', 12646.47107, 'E', 'A']
