[93218.1, 'A', 3714.4547, 12646.4556, 44.999999869724476]
[93218.4, 'A', 3714.4549, 12646.4557, 44.999999869724476]
[93218.5, 'A', 3714.4549, 12646.4558, 44.999999869724476]
[93218.8, 'A', 3714.4552, 12646.4559, 45.000000260551026]
[93219.0, 'A', 3714.4554, 12646.456, 44.99999973944896]
[93219.1, 'A', 3714.4555, 12646.4561, 44.99999973944896]
[93219.4, 'A', 3714.4558, 12646.4563, 44.99999973944896]
[93219.6, 'A', 3714.456, 12646.4564, 44.99999973944896]
[93219.7, 'A', 3714.4562, 12646.4565, 26.56505143762903]
[93220.0, 'A', 3714.4565, 12646.4567, 45.00000039082656]
[93220.2, 'A', 3714.4568, 12646.4569, 44.999999869724476]
[93220.4, 'A', 3714.4571, 12646.457, 26.56505143762903]
[93220.6, 'A', 3714.4574, 12646.4572, 26.56505143762903]
[93220.8, 'A', 3714.4577, 12646.4574, 44.999999869724476]
[93221.0, 'A', 3714.458, 12646.4576, 26.56505102074737]
[93221.2, 'A', 3714.4583, 12646.4577, 45.00000039082656]
[93221.4, 'A', 3714.4587, 12646.4579, 26.56505102074737]
[93221.6, 'A', 3714.4591, 12646.4581, 26.56505102074737]
[93221.8, 'A', 3714.4594, 12646.4583, 26.565051385518814]
[93222.0, 'A', 3714.4598, 12646.4585, 26.56505143762903]
[93222.2, 'A', 3714.4602, 12646.4587, 26.56505102074737]
[93222.4, 'A', 3714.4606, 12646.4589, 26.56505102074737]
[93222.6, 'A', 3714.461, 12646.4591, 26.56505102074737]
[93222.8, 'A', 3714.4614, 12646.4593, 26.56505143762903]
[93223.0, 'A', 3714.4619, 12646.4595, 18.434949031362834]
[93223.2, 'A', 3714.4623, 12646.4597, 26.56505102074737]
[93223.4, 'A', 3714.4628, 12646.4599, 18.43494871870159]
[93223.6, 'A', 3714.4632, 12646.4601, 26.56505143762903]
[93223.8, 'A', 3714.4636, 12646.4604, 26.56505102074737]
[93224.0, 'A', 3714.4641, 12646.4606, 26.56505143762903]
[93224.2, 'A', 3714.4646, 12646.4609, 26.56505102074737]
[93224.4, 'A', 3714.4651, 12646.4611, 26.56505143762903]
[93224.6, 'A', 3714.4656, 12646.4614, 18.434948692646486]
[93224.8, 'A', 3714.466, 12646.4616, 26.56505143762903]
[93225.0, 'A', 3714.4666, 12646.4619, 18.43494900530773]
[93225.2, 'A', 3714.4671, 12646.4622, 45.00000006513776]
[93225.4, 'A', 3714.4676, 12646.4624, 18.43494900530773]
[93225.6, 'A', 3714.4681, 12646.4627, 45.00000006513776]
[93225.8, 'A', 3714.4686, 12646.4629, 26.56505143762903]
[93226.0, 'A', 3714.4692, 12646.4632, 18.434948692646486]
[93226.2, 'A', 3714.4697, 12646.4634, 26.56505143762903]
[93226.4, 'A', 3714.4703, 12646.4637, 18.43494900530773]
[93226.6, 'A', 3714.4708, 12646.4639, 18.43494900530773]
[93226.8, 'A', 3714.4714, 12646.4642, 18.434949031362834]
[93227.0, 'A', 3714.472, 12646.4644, 18.43494900530773]
[93227.2, 'A', 3714.4725, 12646.4647, 26.56505143762903]
[93227.4, 'A', 3714.4732, 12646.4649, 18.434949031362834]
[93227.6, 'A', 3714.4737, 12646.465, 26.56505102074737]
[93227.8, 'A', 3714.4744, 12646.4653, 18.434948692646486]
[93228.0, 'A', 3714.475, 12646.4655, 14.036243621191787]
[93228.2, 'A', 3714.4756, 12646.4657, 18.43494900530773]
[93228.4, 'A', 3714.4762, 12646.4659, 18.434948692646486]
[93228.6, 'A', 3714.4768, 12646.4661, 18.43494871870159]
[93228.8, 'A', 3714.4775, 12646.4664, 18.434948692646486]
[93229.0, 'A', 3714.4781, 12646.4666, 18.43494871870159]
[93229.2, 'A', 3714.4787, 12646.4668, 18.434948692646486]
[93229.4, 'A', 3714.4794, 12646.467, 14.036243605865252]
[93229.6, 'A', 3714.48, 12646.4672, 18.434948692646486]
[93229.8, 'A', 3714.4807, 12646.4674, 18.434948692646486]
[93230.0, 'A', 3714.4814, 12646.4676, 18.434948692646486]
[93230.2, 'A', 3714.4821, 12646.4677, 14.036243360640754]
[93230.4, 'A', 3714.4828, 12646.4679, 14.036243360640754]
[93230.6, 'A', 3714.4834, 12646.468, 18.43494900530773]
[93230.8, 'A', 3714.4841, 12646.468, 18.43494900530773]
[93231.0, 'A', 3714.4849, 12646.4681, 11.309932393850659]
[93231.2, 'A', 3714.4855, 12646.4681, 11.309932393850659]
[93231.4, 'A', 3714.4863, 12646.4682, 14.036243375967288]
[93231.6, 'A', 3714.4869, 12646.4682, 14.036243375967288]
[93231.8, 'A', 3714.4877, 12646.4683, 11.309932594274542]
[93232.0, 'A', 3714.4884, 12646.4683, 11.309932594274542]
[93232.2, 'A', 3714.489, 12646.4684, 18.434948692646486]
