[145045.0, 3717.52891, 'N', 12658.6525, 'E', 'A']
[145046.0, 3717.52891, 'N', 12658.65246, 'E', 'A']
[145047.0, 3717.52892, 'N', 12658.6523, 'E', 'A']
[145048.0, 3717.52895, 'N', 12658.65211, 'E', 'A']
[145049.0, 3717.52897, 'N', 12658.65194, 'E', 'A']
[145050.0, 3717.52899, 'N', 12658.65173, 'E', 'A']
[145051.0, 3717.52903, 'N', 12658.65144, 'E', 'A']
[145052.0, 3717.52908, 'N', 12658.65112, 'E', 'A']
[145053.0, 3717.52913, 'N', 12658.65078, 'E', 'A']
[145054.0, 3717.52917, 'N', 12658.65044, 'E', 'A']
[145055.0, 3717.52921, 'N', 12658.65008, 'E', 'A']
[145056.0, 3717.52924, 'N', 12658.64975, 'E', 'A']
[145057.0, 3717.52927, 'N', 12658.64942, 'E', 'A']
[145058.0, 3717.52931, 'N', 12658.64912, 'E', 'A']
[145059.0, 3717.52935, 'N', 12658.64878, 'E', 'A']
[145100.0, 3717.52939, 'N', 12658.64845, 'E', 'A']
[145101.0, 3717.52943, 'N', 12658.64809, 'E', 'A']
[145102.0, 3717.52949, 'N', 12658.64771, 'E', 'A']
[145103.0, 3717.52952, 'N', 12658.64735, 'E', 'A']
[145104.0, 3717.52957, 'N', 12658.64701, 'E', 'A']
[145105.0, 3717.52962, 'N', 12658.64665, 'E', 'A']
[145106.0, 3717.52966, 'N', 12658.6463, 'E', 'A']
[145107.0, 3717.5297, 'N', 12658.64593, 'E', 'A']
[145108.0, 3717.52975, 'N', 12658.64556, 'E', 'A']
[145109.0, 3717.5298, 'N', 12658.64519, 'E', 'A']
[145110.0, 3717.52984, 'N', 12658.64484, 'E', 'A']
[145111.0, 3717.52988, 'N', 12658.64447, 'E', 'A']
[145112.0, 3717.52992, 'N', 12658.64412, 'E', 'A']
[145113.0, 3717.52997, 'N', 12658.64376, 'E', 'A']
[145114.0, 3717.53002, 'N', 12658.64335, 'E', 'A']
[145115.0, 3717.53007, 'N', 12658.64295, 'E', 'A']
[145116.0, 3717.53011, 'N', 12658.64252, 'E', 'A']
[145117.0, 3717.53016, 'N', 12658.6421, 'E', 'A']
[145118.0, 3717.53021, 'N', 12658.64173, 'E', 'A']
[145119.0, 3717.53026, 'N', 12658.64132, 'E', 'A']
[145120.0, 3717.53031, 'N', 12658.64091, 'E', 'A']
[145121.0, 3717.53036, 'N', 12658.64051, 'E', 'A']
[145122.0, 3717.53041, 'N', 12658.64008, 'E', 'A']
[145123.0, 3717.53045, 'N', 12658.63968, 'E', 'A']
[145124.0, 3717.53049, 'N', 12658.63928, 'E', 'A']
[145125.0, 3717.53054, 'N', 12658.63888, 'E', 'A']
